id,name,host_id,host_name,host_since,room_type,price,neighbourhood,bedrooms,number_of_reviews,first_review,last_review,host_is_superhost,minimum_nights,reviews_per_month,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,host_identity_verified,accommodates,beds,airbnb_age
2167538,"Modern Sydney home near beach,shops",11059668,Sophie,2014-01-06,Entire home/apt,650,Waverley,3.0,1,2015-04-01,2015-04-01,f,90,0.01,4.0,4.0,4.0,5.0,5.0,5.0,4.0,f,5,3.0,0
790607305500629830,Luxury double room,202112801,Vivian,2018-07-13,Private room,84,Canada Bay,1.0,31,2023-01-07,2024-03-07,f,1,2.13,4.71,4.65,4.52,4.81,4.77,4.68,4.68,t,1,1.0,425
641106357139201992,Chic Studio Apartment in Prime Bondi Location,279001183,MadeComfy,2019-07-24,Entire home/apt,508,Waverley,1.0,17,2022-07-22,2023-02-19,f,1,0.84,4.0,4.41,4.18,3.71,3.94,4.94,4.29,t,2,1.0,212
35165719,Huge Exec Apartment -Fantastic CBD Location B21001,148607219,Wyndel Apartments,2017-08-31,Entire home/apt,240,Sydney,1.0,19,2019-10-26,2024-01-25,f,28,0.35,4.84,4.79,4.63,4.95,4.89,5.0,4.89,t,2,1.0,1552
53432672,Beautiful 2 bed seaside Federation home w/backyard,4637316,Pier,2013-01-09,Entire home/apt,257,Manly,2.0,7,2022-12-27,2024-01-06,f,4,0.47,4.86,4.86,4.71,4.86,5.0,4.86,4.86,t,6,3.0,375
771220750615738510,South Penrith 4 Bedroom House.,471933804,Karli,2022-07-27,Entire home/apt,230,Penrith,4.0,65,2023-03-12,2024-03-16,t,1,5.23,4.89,4.94,4.97,5.0,4.97,4.94,4.83,t,6,4.0,370
858978206585620241,Chill and comfy home close to station and shops,337363892,AirPillows,2020-02-19,Entire home/apt,169,Ku-Ring-Gai,1.0,10,2023-06-11,2024-03-03,f,2,1.06,4.2,4.44,4.22,4.44,4.44,4.33,4.0,t,3,2.0,266
18376457,THE GLASS HOUSE by Palm Beach Holiday Rentals,23717928,Palm Beach Holiday Rentals,2014-11-13,Entire home/apt,1100,Pittwater,5.0,1,2017-10-30,2017-10-30,f,3,0.01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,t,10,6.0,0
738610930803396192,Convenient and clean room in Randwick,59415462,Jonny,2016-02-19,Private room,190,Randwick,1.0,8,2022-11-20,2024-02-21,f,2,0.49,4.88,4.63,4.38,4.88,4.88,4.88,5.0,t,2,1.0,458
853839624205173029,La Baia | Luxury Penthouse Neutral Bay,185126628,Evan,2018-04-19,Entire home/apt,918,North Sydney,3.0,6,2023-04-18,2024-02-11,f,2,0.54,5.0,5.0,4.83,4.83,5.0,5.0,5.0,t,6,3.0,299
923496384211197959,Queen Suite Bedroom in Cabramatta CBD,522463700,Thanh Hieu,2023-06-28,Private room,70,Fairfield,1.0,13,2023-10-01,2024-02-10,t,1,2.29,4.54,4.46,4.31,4.92,4.92,4.46,4.46,f,2,2.0,132
945216569477746615,On The Esplanade - Close to beach & Cronulla mall,464149593,Anthony,2022-06-13,Entire home/apt,387,Sutherland Shire,2.0,6,2023-09-25,2024-02-09,t,3,1.02,4.5,4.33,4.5,5.0,4.83,4.5,4.0,t,6,5.0,137
32328850,Super big room for lease,202112801,Vivian,2018-07-13,Private room,108,Canada Bay,1.0,80,2019-03-17,2024-03-13,f,1,1.31,4.6,4.64,4.56,4.75,4.8,4.65,4.69,t,1,1.0,1823
